Name	Time	MaxSpeed	CurrentSpeed	Shortest	Fastest	StartSmart	DynamicSmart
S-N340-04	71955	100	100	0	0	0	0
S-CV149-10	71955	80	80	0	0	0	0
S-CV149-01	71955	80	80	0	0	0	0
S-N340-06	71955	100	100	0	0	0	0
S-CV144-02	71955	80	80	0	0	0	0
S-CV1520-03	71955	80	80	0	0	0	0
S-CV149-06	71955	80	80	0	0	0	0
S-CV149-03	71955	80	80	0	0	0	0
S-CV149-05	71955	80	80	0	0	0	0
S-N340a-05	71955	100	100	0	0	0	0
S-CV149-07	71955	80	80	0	0	0	0
S-N340-05	71955	100	100	0	0	0	0
S-CV149-08	71955	80	80	0	0	0	0
S-N340-08	71955	100	100	0	0	0	0
S-CV1501-04	71955	80	80	0	0	0	0
S-CV1520-04	71955	80	80	0	0	0	0
S-CV1501-01	71955	80	80	0	0	0	0
S-CV1520-02	71955	80	80	0	0	0	0
S-CV1501-02	71955	80	80	0	0	0	0
S-N340-03	71955	100	100	0	0	0	0
S-CV149-09	71955	80	80	0	0	0	0
S-N340-02	71955	100	100	0	0	0	0
S-CV197-02	71955	80	80	0	0	0	0
S-N340a-01	71955	100	100	0	0	0	0
S-CV149-04	71955	80	80	0	0	0	0
S-N340-01	71955	100	100	0	0	0	0
S-N340-07	71955	100	100	0	0	0	0
S-CV1520-01	71955	80	80	0	0	0	0
S-CV149-02	71955	80	80	0	0	0	0
S-N340a-02	71955	100	100	0	0	0	0
S-CV197-01	71955	80	80	0	0	0	0
S-N340a-04	71955	100	100	0	0	0	0
S-CV1501-03	71955	80	80	0	0	0	0
S-N340a-06	71955	100	100	0	0	0	0
S-CV144-01	71955	80	80	0	0	0	0
S-N340a-03	71955	100	100	0	0	0	0
S-CV144-02	71970	80	80	0	0	0	0
S-N340a-01	71970	100	100	0	0	0	0
S-N340a-05	71970	100	100	0	0	0	0
S-CV1520-01	71970	80	80	0	0	0	0
S-N340-05	71970	100	100	0	0	0	0
S-CV1501-01	71970	80	80	0	0	0	0
S-N340-01	71970	100	100	0	0	0	0
